tag,title,artist
Growing Up,West Coast,Fidlar
Growing Up,Time,Pink Floyd
Growing Up,Growing Pains,Ludacris
Growing Up,Grown Up,Danny Brown
Growing Up,In My Life,The Beatles
Growing Up,We're Going To Be Friends,The White Stripes
Depression,I Feel Like Dying,Lil Wayne
Depression,Paint It, Black,The Rolling Stones
Depression,Living Is A Problem Because Everything Dies,Biffy Clyro
Depression,Hurt,Nine inch Nails
Depression,Turn Blue,The Black Keys
Depression,Black Eyed Dog,Nick Drake
Depression,Solitude Is Bliss,Tame Impala
Depression,Basket Case,Green Day
Depression,Suicide Is Painless,Manic Street Preachers
Depression,People = Shit,Slipknot
Depression,re:stacks,Bon Iver
Depression,Loser,Beck
Depression,Waking Up,Elastica
Depression,Nothin,Cat Power
Depression,Dark Times,The Weeknd
Depression,Just,Radiohead
Depression,Rock Bottom,Eminem
Depression,Entropy feat. Bleachers,Grimes
Depression,Down About It,The Lemonheads
Depression,This Is A Low,Blur
Depression,I Know It,The Smiths
Depression,Every Night,Paul McCartney
Depression,I See A Darkness,Bonnie Prince Billy
Depression,Stan,Eminem
Depression,Mad World,Tears for Fears
Depression,Sorrow,The National
Depression,Pain Pain Again,Glasvegas
Depression,A Letter To Elise,The Cure
Depression,Needle In The Hay,Elliott Smith
Depression,What Sarah Said,Death Cab For Cutie
Depression,Red Eyes,The War On Drugs
Depression,FML feat. The Weeknd,Kanye West
Depression,Breathe Me,Sia
Depression,u,Kendrick Lamar
Depression,Should Have Known Better,Sufjan Stevens
Depression,To Ramona,Bob Dylan
Depression,Grief,Earl Sweatshirt
Depression,How To Disappear Completely,Radiohead
Depression,Avalanche,Leonard Cohen
Depression,Pennyroyal Tea,Nirvana
Depression,Lua,Bright Eyes
Depression,Comfortably Numb,Pink Floyd
Depression,Blue Moon,Elvis Presley
Depression,Atmosphere,Joy Division
Anthropology,Like Humans Do,David Byrne
Anthropology,The Devil Put Dinosaurs Here,Alice In Chains
Anthropology,The Caves Of Altamira,Steely Dan
Anthropology,Diggin Up Bones,Randy Travis
Anthropology,Queen of the Savages,The Magnetic Fields
Anthropology,The Bad Touch,Bloodhound Gang
Anthropology,My Old Man,The Smothers Brothers
Anthropology,Hungry Heart,Bruce Springsteen
Anthropology,New Dark Ages,Bad Religion
Anthropology,Human,The Killers
Anthropology,In the Days of the Caveman,Crash Test Dummies
Anthropology,Slow Down You Grave Robbing Bastard,The Meteors
Anthropology,People Are People,Depeche Mode
Anthropology,Raiders March,John Williams
Jive,Tired Of Your Jive,BB King
Jive,Hit That Jive,Gramatik
Jive,Born To Hand Jive,Sha Na Na
Jive,The Phat Jive,Patrick Lindsey
Jive,The Scenario,A Tribe Called Quest
Jive,Virginia Plain,Roxy Music
Jive,Java Jive,The Ink Spots
Jive,Juke Box Jive,Rubettes
Jive,Rhine Jive Click,Guided By Voices
Jive,Our Love Will Last,The Jivers
Jive,Jiving Sister Fanny,Rolling Stones
Jive,Do You Love Me,The Contours
Not on the Soundtrack,Abduction At Airport from Big Trouble in Little China,John Carpenter
Not on the Soundtrack,Where Is My Mind,Pixies
Not on the Soundtrack,The Coming Storm,John Williams
Not on the Soundtrack,Love Will Tear Us Apart,Joy Division
Not on the Soundtrack,Nearer My God To Thee,Titanic
Not on the Soundtrack,Cabin In The Air,Nancy Wilson
Not on the Soundtrack,Dissolved Girl,Massive Attack
Not on the Soundtrack,The Nightclub Brawl from Indiana Jones and the Temple of Doom,John Williams
Not on the Soundtrack,Sweet Emotion,Aerosmith
Not on the Soundtrack,Maniac,Michael Sembello
Not on the Soundtrack,Heaven Is A Place On Earth,Belinda Carlisle
Not on the Soundtrack,I Am Waiting,Rolling Stones
Odd,Just One Fix,Ministry
Odd,Odd Look,Kavinsky
Even,Cut From The Cloth,The Evens
Even,Garbage,Even Though Our Love Is Doomed
Even,Even Numbers,They Might Be Giants
Odd,Bottom Of The Sea,Matt Nathanson
Even,Even In His Youth,Nirvana
Even,Marilyn Monroe,Pharrell Williams
Even,Not even jail,Interpol
Odd,Strange Phenomena,Kate Bush
Even,Even Less,Porcupine Tree
Odd,Lucky Number,Lene Lovich
Even,Even Dogs in the Wild,Associates
Even,Even Tho,Webb Pierce
Even,Even It Up,HEART
Odd,The Odd Couple,Earnest Tubb and Loretta Lynn
Even,Bizarre Love Triangle,Even As We Speak
Odd,Oddity,The Clean
